States/Uts,Black spots on NH reported by the State as on 16/9/2020
Andhra Pradesh,466.0
Madhya Pradesh,303.0
Tamil Nadu,748.0
Rajasthan,349.0
Gujarat,250.0
Himachal Pradesh,116.0
Uttarkhand,54.0
Punjab,296.0
Goa,29.0
Meghalaya,1.0
Delhi,113.0
Karnatka,551.0
Jammu and Kashmir,64.0
Kerala,243.0
Tripura,9.0
Assam,12.0
Uttar Pradesh,253.0
Orrisa,169.0
Bihar,94.0
Chattisgarh,142.0
Jharkhand,52.0
Mizoram,2.0
Maharahtra,25.0
Telengana,485.0
West Begal,701.0
Nagaland,17.0
Haryana,23.0
Manipur,5.0
Arunachal Pradesh,5.0
Chandigarh,6.0
Andaman and Nicobar Is.,
Dadra and Nagar Haveli,
Daman and Diu,
Lakshadweep,
Puducherry,
Sikkim,
Total,5583.0
