State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years
Tripura,West,Amtali PS,NH,Siddhi Ashram,1 mtr.,400 mtrs.,7,4.0,3.0,14,3,3.0,1.0,7
Tripura,SPJ,Bisramganj,NH,Chesrimai to Puskar Bari,0,1/2 KM,7,3.0,4.0,14,5,1.0,0.0,6
Tripura,West,Ranirbazar PS,NH,Bridhinagar,1 mtr.,425 mtrs.,6,2.0,4.0,12,2,2.0,1.0,5
Tripura,Gomati,R.K. Pur PS,NH,Chanban to rajarbag Motor Stand,0,500 mtrs.,3,4.0,2.0,9,0,2.0,3.0,5
Tripura,Dhalal,Manu PS,NH,S.K. Para area,378.00 KM,378.00 KM,1,2.0,0.0,3,1,3.0,0.0,4
Tripura,West,Amtali PS,NH,Sekher Kote,1 mtr.,450 mtrs.,3,5.0,6.0,14,1,2.0,1.0,4
Tripura,West,Amtali PS,NH,Surjyamoni Nagar,1 mtr.,350 mtrs.,5,3.0,6.0,14,1,0.0,3.0,4
Tripura,Gomati,R.K. Pur PS,NH,Peratia to Natintilla,0,500 mtrs.,2,3.0,3.0,8,1,2.0,1.0,4
Tripura,North,Churaibari,NH,Sanicherra,6 KM,5 KM,0,0.0,3.0,3,0,0.0,2.0,2
Tripura,Unakoti,Kumarghat-Pecharthal,NH,Sidhangcherra,12 KM,0.5 KM,2,3.0,0.0,5,0,2.0,0.0,2
Kerala,Kollam rural,Kundara,NH 744,Keralapuram,9.75,10.25,16,17.0,3.0,36,9,9.0,10.0,28
Kerala,Alappuzha,Aroor,NH 66,Aroor Bypass to Aroor Temple,.250 north,.250 south,71,34.0,59.0,164,9,6.0,11.0,26
Kerala,Alappuzha,Haripad,NH 66,Karuvatta- Vazhiyambalam,.350 south,.150 north,17,42.0,16.0,75,6,9.0,4.0,19
Kerala,Alappuzha,Aroor,NH 66,Eramalloor,.250 north,.250 south,36,42.0,38.0,116,9,6.0,3.0,18
Kerala,Alappuzha,Aroor,NH 66,Chandiroor,.150 north,.350 south,27,31.0,30.0,88,5,7.0,5.0,17
Kerala,Alappuzha,Haripad,NH 66,Madhava Junction- Haripad- KSRTC JN,.350 south,.150 north,16,20.0,35.0,71,3,3.0,9.0,15
Kerala,Alappuzha,Kareelakulangara,NH 66,Ramapuram,.250 north,.250 south,13,13.0,17.0,43,5,2.0,6.0,13
Kerala,Kannur,Valapattanam,NH,Pappinisseri Chungam to Velapuram,00 Mtr,500 Mtr,10,8.0,10.0,28,6,3.0,4.0,13
Kerala,Alappuzha,Kuthiathode,NH 66,Thuravoor St George Church to  Reliance Petrol Pump,.250 north,.250 south,36,26.0,24.0,86,3,6.0,3.0,12
Kerala,Kozhikode Rural,Vatakara,NH,Kainatty,"Kainatty
001 Meter","KT Bazar
500 Meter",10,12.0,9.0,31,3,4.0,5.0,12
Telangana,Suryapet,Kodad Town,NH 65,SRM School,177,177/4,3,0.0,1.0,4,5,0.0,18.0,23
Telangana,Sangareddy,Sadasivpet,NH 65,Nandikandi outskirts,76.5,76,17,7.0,7.0,31,15,1.0,6.0,22
Telangana,Sangareddy,Kondapur,NH 65,Malkapur X Road,56.5,56,13,15.0,7.0,35,7,10.0,5.0,22
Telangana,Sangareddy,Patancheru,NH 65,Muthangi (V) limits,33.5,33,9,14.0,7.0,30,8,5.0,7.0,20
Telangana,Rachakonda,Ghatkesar PS,NH 163,Aushapur Village,29 Kms,29.5 Kms,17,9.0,12.0,38,7,5.0,7.0,19
Telangana,Sangareddy,Patancheru,NH 65,Isnapur X Road,35.5,35,12,10.0,13.0,35,9,3.0,5.0,17
Telangana,Suryapet,Kodad Town,NH 65,Mellachervu Fly Over,181,181/4,6,1.0,2.0,9,14,1.0,2.0,17
Telangana,Cyberabad,Narsingi,NH 163,Tippukhan bridge to Hydershakote,6.5 Kms,7 Kms,11,17.0,11.0,39,9,6.0,2.0,17
Telangana,Warangal,Mamnoor,NH 563,Nayudu Petrol Pump Cross,127,127.5,16,10.0,9.0,35,9,5.0,3.0,17
Telangana,Kamareddy,Devanpally,NH 44,Tekriyal /'X' ROAD,117.5,117,10,4.0,3.0,17,8,5.0,3.0,16
Maharastra,Dhule,Dhule Taluka,NH-6,Katsar Village,508/8,509/3,2,,,2,19,,,19
Maharastra,NANDED,Nanded Rural,NH- 361,Muslmanwadi Pati,15 km,15.5 km,1,2.0,2.0,5,1,7.0,5.0,13
Maharastra,Amravati Rural,Loni,NH-6,Nagzari Fata,177/950,177/950,1,4.0,3.0,8,1,5.0,4.0,10
Maharastra,Solapur Rural,Tembhurni,NH-65,Kanergaon Pati Solapur to Pune,162/350,162/850,6,3.0,,9,6,3.0,,9
Maharastra,Dhule,Dhule Taluka,NH-3,Near Purmepada Village,282/0,282/5,0,7.0,,7,0,6.0,,6
