State_UT,Accidents_2016,Accidents_2017,Accidents_2018,Accidents_2019,Average_Accidents_2016_2018,Accident_Change_2018_vs_2016,Accident_Growth_2018_vs_2016
Andhra Pradesh,24888,25727,24475,21992,25030.0,-413,-1.6594342655094825
Arunachal Pradesh,249,241,277,237,255.66666666666666,28,11.244979919678714
Assam,7435,7170,8248,8350,7617.666666666667,813,10.93476798924008
Bihar,8222,8855,9600,10007,8892.333333333334,1378,16.759912430065675
Chhattisgarh,13580,13563,13864,13899,13669.0,284,2.091310751104565
Goa,4304,3917,3709,3440,3976.6666666666665,-595,-13.824349442379184
Gujarat,21859,19081,18769,17046,19903.0,-3090,-14.136053799350382
Haryana,11234,11258,11238,10944,11243.333333333334,4,0.03560619547801318
Himachal Pradesh,3168,3114,3110,2873,3130.6666666666665,-58,-1.8308080808080809
Jammu and Kashmir,5501,5624,5978,5796,5701.0,477,8.671150699872749
Jharkhand,4932,5198,5394,5217,5174.666666666667,462,9.367396593673966
Karnataka,44403,42542,41707,40658,42884.0,-2696,-6.071661824651488
Kerala,39420,38470,40181,41111,39357.0,761,1.930492135971588
Madhya Pradesh,53972,53399,51397,50669,52922.666666666664,-2575,-4.770992366412214
Maharashtra,39878,35853,35717,32925,37149.333333333336,-4161,-10.43432469030543
Manipur,538,578,601,672,572.3333333333334,63,11.71003717472119
Meghalaya,620,675,399,482,564.6666666666666,-221,-35.64516129032258
Mizoram,83,68,53,62,68.0,-30,-36.144578313253014
Nagaland,75,531,430,358,345.3333333333333,355,473.3333333333333
Odisha,10532,10855,11262,11064,10883.0,730,6.931257121154577
Punjab,6952,6273,6428,6348,6551.0,-524,-7.537399309551208
Rajasthan,23066,22112,21743,23480,22307.0,-1323,-5.735714905055059
Sikkim,210,196,180,162,195.33333333333334,-30,-14.285714285714285
Tamil Nadu,71431,65562,63920,57228,66971.0,-7511,-10.51504248855539
Telangana,22811,22484,22230,21570,22508.333333333332,-581,-2.5470167901451055
Tripura,557,503,552,655,537.3333333333334,-5,-0.8976660682226212
Uttarakhand,1591,1603,1468,1352,1554.0,-123,-7.730986800754243
Uttar Pradesh,35612,38783,42568,42572,38987.666666666664,6956,19.532741772436257
West Bengal,13580,11631,12705,10158,12638.666666666666,-875,-6.443298969072164
Andaman and Nicobar Islands,238,189,254,230,227.0,16,6.722689075630252
Chandigarh,428,342,316,305,362.0,-112,-26.168224299065418
Dadra and Nagar Haveli,70,67,80,68,72.33333333333333,10,14.285714285714285
Daman and Diu,71,79,76,69,75.33333333333333,5,7.042253521126761
Delhi,7375,6673,6515,5610,6854.333333333333,-860,-11.661016949152541
Lakshadweep,1,1,3,1,1.6666666666666667,2,200.0
Puducherry,1766,1693,1597,1392,1685.3333333333333,-169,-9.56964892412231
